sample	contig	NCBItaxID	NCBIrank	NCBItaxName	nFrags	retainedFrags	taxassignedFrags	fractionAgreement	lineage
UT30	NODE_53141_length_4902_cov_43.6	286	family	Lachnospiraceae	7	6	4	0.67	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
UT30	NODE_63058_length_4161_cov_9.9	3006	species	Prevotella pectinovora	7	7	7	1.0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Prevotella;s_Prevotella pectinovora
UT30	NODE_72691_length_3641_cov_61.5	8161	genus	UBA6857	5	5	2	0.93	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_UBA6857
UT30	NODE_80822_length_3298_cov_39.7	20812	species	Faecivicinus sp900553265	3	3	2	0.96	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-74;g_Faecivicinus;s_Faecivicinus sp900553265
Zape1	NODE_562_length_26807_cov_70.4	2320	species	PeH17 sp000435055	26	24	17	0.72	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-138;g_PeH17;s_PeH17 sp000435055
Zape1	NODE_2297_length_14584_cov_23.7	6404	genus	Bruticola	7	7	6	0.86	d_Bacteria;p_Eremiobacterota;c_Xenobia;o_Xenobiales;f_Xenobiaceae;g_Bruticola
Zape1	NODE_5576_length_9164_cov_26.0	13855	species	UBA1829 sp900548385	12	12	11	0.99	d_Bacteria;p_Verrucomicrobiota;c_Lentisphaeria;o_Victivallales;f_UBA1829;g_UBA1829;s_UBA1829 sp900548385
Zape1	NODE_12217_length_5761_cov_27.1	19649	species	Bruticola sp004554425	6	6	5	0.8	d_Bacteria;p_Eremiobacterota;c_Xenobia;o_Xenobiales;f_Xenobiaceae;g_Bruticola;s_Bruticola sp004554425
Zape1	NODE_19934_length_4176_cov_50.9	69669	species	UBA737 sp017549565	5	5	4	0.75	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_UBA737;s_UBA737 sp017549565
Zape2	NODE_193_length_38015_cov_221.7	4210	species	Fimenecus sp004556705	42	40	35	0.94	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_Fimenecus;s_Fimenecus sp004556705
AW107	NODE_1575_length_12795_cov_136.1	8246	genus	CAG-95	11	11	8	0.75	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-95
AW107	NODE_9168_length_4846_cov_17.2	26607	species	RGIG4076 sp905198155	5	5	2	0.63	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_RGIG4076;s_RGIG4076 sp905198155
AW107	NODE_18601_length_3271_cov_21.4	637	family	UBA932	3	3	2	0.98	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932
Zape3	NODE_513_length_34543_cov_215.6	945	genus	Coprococcus	33	30	21	0.69	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Coprococcus
Zape3	NODE_2382_length_12824_cov_50.7	2894	genus	KLE1615	13	13	8	0.62	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_KLE1615
Zape3	NODE_9379_length_4827_cov_33.0	13943	species	Glutamicibacter sp002979865	6	6	6	1.0	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Glutamicibacter;s_Glutamicibacter sp002979865
AW108	NODE_147_length_62914_cov_160.2	2	superkingdom	Bacteria	13	12	7	0.63	d_Bacteria
AW108	NODE_1460_length_17555_cov_70.0	2548	species	Phil1 sp001940855	25	22	13	0.77	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-138;g_Phil1;s_Phil1 sp001940855
AW108	NODE_4211_length_8340_cov_201.4	286	family	Lachnospiraceae	10	10	10	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
AW108	NODE_13663_length_3857_cov_101.5	286	family	Lachnospiraceae	5	5	5	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
UT30	NODE_42121_length_6123_cov_131.5	990	genus	Faecousia	8	8	8	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_Faecousia
UT30	NODE_49412_length_5261_cov_9.5	598	family	Oscillospiraceae	5	5	3	0.51	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae
UT30	NODE_60385_length_4338_cov_124.9	638	genus	Cryptobacteroides	6	6	6	1.0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932;g_Cryptobacteroides
UT30	NODE_69887_length_3780_cov_10.4	50867	species	Butyribacter sp017626435	6	6	4	0.75	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyribacter;s_Butyribacter sp017626435
UT30	NODE_77382_length_3436_cov_21.4	286	family	Lachnospiraceae	4	4	3	0.68	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
