Sample_ID	Prediction_tool	Contig_ID	Product_class	BGC_probability	BGC_complete	BGC_start	BGC_end	BGC_length	CDS_ID	CDS_count	PFAM_domains	MIBiG_ID	InterPro_ID
AW107	antiSMASH	NODE_10188_length_4565_cov_26.2	RRE-containing	NA	No	1	4565	4566	NA;IAIMAI_408730;IAIMAI_408735;IAIMAI_408740;IAIMAI_408745;IAIMAI_408750	5	PF05402;Stand_Alone_Lasso_RRE	NA	NA
AW107	antiSMASH	NODE_1028_length_15424_cov_187.6	RRE-containing	NA	No	1	11346	11347	NA;IAIMAI_114765;IAIMAI_114770;IAIMAI_114775;IAIMAI_114780;IAIMAI_114785;IAIMAI_114790;IAIMAI_114795;IAIMAI_114800;IAIMAI_114805;IAIMAI_114810	10	Stand_Alone_Lasso_RRE;PF05402;PqqD_RRE;NTP_transf_5	NA	NA
AW107	antiSMASH	NODE_10360_length_4526_cov_126.9	Arylpolyene	NA	No	1	4526	4527	NA;IAIMAI_412365;IAIMAI_412370;IAIMAI_412375;IAIMAI_412380	4	APE_KS1;AMP-binding	NA	NA
AW107	antiSMASH	NODE_1043_length_15344_cov_42.9	Phosphonate	NA	No	5124	15344	10222	NA;IAIMAI_115895;IAIMAI_115900;IAIMAI_115905;IAIMAI_115910;IAIMAI_115915;IAIMAI_115920;IAIMAI_115925;IAIMAI_115930;IAIMAI_115935;IAIMAI_115940	10	TPP_enzyme_N;TPP_enzyme_C;Fe-ADH;NTP_transf_3;CTP_transf_like;phosphonates;PEP_mutase;NTP_transf_3	NA	NA
AW107	antiSMASH	NODE_10484_length_4496_cov_12.4	Arylpolyene	NA	No	1	4496	4497	NA;IAIMAI_414935;IAIMAI_414940;IAIMAI_414945;IAIMAI_414950;IAIMAI_414955;IAIMAI_414960;IAIMAI_414965	7	APE_KS2	NA	NA
AW107	antiSMASH	NODE_10683_length_4447_cov_24.0	Terpene	NA	No	1	4447	4448	NA;IAIMAI_418965;IAIMAI_418970;IAIMAI_418975	3	phytoene_synt	NA	NA
AW107	antiSMASH	NODE_11026_length_4373_cov_24.1	RRE-containing	NA	No	1	4373	4374	NA;IAIMAI_425785;IAIMAI_425790;IAIMAI_425795;IAIMAI_425800;IAIMAI_425805;IAIMAI_425810	6	PF05402;Stand_Alone_Lasso_RRE;Peptidase_S9	NA	NA
AW107	antiSMASH	NODE_11315_length_4312_cov_22.5	TransAT-PKS-like	NA	No	1	4312	4313	NA;IAIMAI_431695	1	PKS_KS;ATd;PP-binding;NAD_binding_4	NA	NA
AW107	antiSMASH	NODE_11354_length_4301_cov_58.1	Ranthipeptide	NA	No	1	4301	4302	NA;IAIMAI_432435;IAIMAI_432440;IAIMAI_432445	3	Ranthipeptide_rSAM_RRE;Fer4_12;PF04055;TIGR04085;TIGR03973;SCIFF	NA	NA
AW107	antiSMASH	NODE_11357_length_4300_cov_42.6	Ranthipeptide	NA	No	1	4300	4301	NA;IAIMAI_432500;IAIMAI_432505;IAIMAI_432510;IAIMAI_432515;IAIMAI_432520	5	Ranthipeptide_rSAM_RRE;Fer4_12;PF04055;TIGR04085;SPASM;TIGR03973;SCIFF	NA	NA
AW107	antiSMASH	NODE_11609_length_4250_cov_46.2	Ranthipeptide	NA	No	1	4250	4251	NA;IAIMAI_437485;IAIMAI_437490;IAIMAI_437495	3	Ranthipeptide_rSAM_RRE;Fer4_12;PF04055;TIGR04085;Aminotran_5	NA	NA
AW107	antiSMASH	NODE_1163_length_14594_cov_111.7	RRE-containing	NA	No	1	14594	14595	NA;IAIMAI_123850;IAIMAI_123855;IAIMAI_123860;IAIMAI_123865;IAIMAI_123870;IAIMAI_123875;IAIMAI_123880;IAIMAI_123885;IAIMAI_123890;IAIMAI_123895;IAIMAI_123900;IAIMAI_123905;IAIMAI_123910;IAIMAI_123915	14	Glycos_transf_1;Glycos_transf_1;Glycos_transf_1;Bac_transf;PF05402;Stand_Alone_Lasso_RRE;NTP_transf_5;Poly_export	NA	NA
AW107	antiSMASH	NODE_1176_length_14470_cov_31.5	Arylpolyene	NA	No	1	14470	14471	NA;IAIMAI_124665;IAIMAI_124670;IAIMAI_124675;IAIMAI_124680;IAIMAI_124685;IAIMAI_124690;IAIMAI_124695;IAIMAI_124700;IAIMAI_124705;IAIMAI_124710;IAIMAI_124715;IAIMAI_124720;IAIMAI_124725;IAIMAI_124730;IAIMAI_124735	15	APE_KS1;Aminotran_1_2	NA	NA
