sample	reference	predicted_accuracy	null_model_p0	null_model_p0_stdev	damage_model_p	damage_model_p_stdev	damage_model_pmin	damage_model_pmin_stdev	damage_model_pmax	damage_model_pmax_stdev	pvalue	qvalue	RMSE	nb_reads_aligned	coverage	reflen	CtoT-0	CtoT-1	CtoT-2	CtoT-3	CtoT-4	CtoT-5	CtoT-6	CtoT-7	CtoT-8	CtoT-9	CtoT-10	CtoT-11	CtoT-12	CtoT-13	CtoT-14	CtoT-15	CtoT-16	CtoT-17	CtoT-18	CtoT-19
AW107	NODE_10360_length_4526_cov_126.9	0.827	0.001	0.000	0.577	0.216	0.001	0.000	0.004	0.001	0.050	0.087	0.001	4959	113.451	4526	0.004	0.002	0.001	0.001	0.001	0.000	0.000	0.001	0.001	0.000	0.001	0.003	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW107	NODE_2396_length_10303_cov_98.3	0.767	0.001	0.000	0.498	0.104	0.000	0.000	0.006	0.001	0.000	0.000	0.001	9465	89.380	10303	0.006	0.002	0.003	0.002	0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.002	0.000	0.000	0.002	0.001	0.001	0.000	0.000	0.000
AW107	NODE_5336_length_6576_cov_72.5	0.607	0.002	0.001	0.310	0.101	0.001	0.001	0.010	0.002	0.000	0.000	0.002	3910	64.183	6576	0.009	0.008	0.005	0.002	0.005	0.002	0.002	0.003	0.000	0.000	0.000	0.000	0.007	0.002	0.002	0.000	0.000	0.000	0.000	0.002
AW107	NODE_1613_length_12616_cov_29.2	0.419	0.001	0.001	0.724	0.077	0.000	0.000	0.011	0.001	0.000	0.000	0.001	3275	26.139	12616	0.011	0.003	0.003	0.000	0.000	0.000	0.000	0.003	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW107	NODE_3019_length_9066_cov_121.0	0.850	0.003	0.000	0.407	0.129	0.002	0.000	0.009	0.001	0.000	0.001	0.001	9924	108.906	9066	0.008	0.009	0.004	0.002	0.003	0.001	0.003	0.001	0.001	0.002	0.003	0.003	0.004	0.000	0.003	0.000	0.002	0.003	0.002	0.003
AW107	NODE_3531_length_8328_cov_81.2	0.676	0.003	0.001	0.417	0.147	0.002	0.001	0.009	0.002	0.000	0.001	0.002	6198	73.404	8328	0.010	0.007	0.000	0.006	0.003	0.003	0.005	0.003	0.001	0.001	0.000	0.003	0.003	0.001	0.000	0.003	0.000	0.003	0.000	0.003
AW107	NODE_920_length_16199_cov_120.2	0.875	0.003	0.000	0.145	0.119	0.002	0.001	0.005	0.001	0.000	0.001	0.001	17913	108.846	16199	0.005	0.007	0.003	0.004	0.004	0.000	0.003	0.002	0.003	0.005	0.003	0.003	0.001	0.004	0.003	0.000	0.001	0.001	0.003	0.001
AW107	NODE_645_length_19042_cov_40.5	0.522	0.002	0.000	0.171	0.076	0.001	0.001	0.005	0.001	0.000	0.001	0.001	6410	35.988	19042	0.005	0.002	0.005	0.003	0.004	0.001	0.001	0.001	0.002	0.001	0.001	0.000	0.002	0.001	0.001	0.000	0.000	0.001	0.001	0.001
AW107	NODE_5764_length_6303_cov_31.4	0.366	0.003	0.001	0.284	0.172	0.001	0.001	0.010	0.003	0.000	0.001	0.003	1739	28.450	6303	0.010	0.008	0.000	0.011	0.000	0.007	0.000	0.003	0.000	0.000	0.000	0.003	0.007	0.004	0.000	0.000	0.000	0.000	0.000	0.003
AW107	NODE_861_length_16548_cov_85.0	0.757	0.003	0.000	0.322	0.148	0.002	0.000	0.007	0.001	0.000	0.001	0.001	12412	76.851	16548	0.007	0.007	0.004	0.003	0.002	0.002	0.002	0.006	0.002	0.003	0.003	0.005	0.000	0.000	0.002	0.003	0.002	0.003	0.000	0.003
AW107	NODE_2741_length_9561_cov_75.3	0.655	0.002	0.001	0.731	0.198	0.001	0.000	0.009	0.002	0.001	0.001	0.001	6549	67.944	9561	0.009	0.003	0.003	0.002	0.000	0.002	0.001	0.001	0.002	0.001	0.001	0.000	0.006	0.003	0.000	0.000	0.001	0.000	0.000	0.000
AW107	NODE_3950_length_7797_cov_99.3	0.771	0.003	0.001	0.710	0.144	0.002	0.000	0.012	0.002	0.000	0.000	0.001	7310	89.469	7797	0.012	0.005	0.002	0.003	0.005	0.002	0.000	0.000	0.001	0.003	0.004	0.003	0.001	0.001	0.002	0.002	0.003	0.004	0.000	0.000
AW107	NODE_777_length_17369_cov_74.6	0.697	0.002	0.000	0.257	0.162	0.001	0.000	0.004	0.001	0.001	0.003	0.001	11725	66.763	17369	0.005	0.003	0.001	0.001	0.005	0.003	0.001	0.001	0.000	0.001	0.001	0.003	0.002	0.001	0.001	0.001	0.001	0.001	0.000	0.001
