user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
AW107-megahit_bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_F;s__Ruminococcus_F champanellensis	GCF_000210095.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_F;s__Ruminococcus_F champanellensis	97.77	0.943	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
AW107-megahit_bin.10	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp900547385	GCA_900547385.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp900547385	97.92	0.962	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
AW107-megahit_bin.11	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__RGIG3994;s__	N/A	N/A	N/A	N/A	N/A	GCA_017502915.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__RGIG3994;s__RGIG3994 sp017502915	78.37	0.057	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__RGIG3994;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_015064095.1, s__RGIG3994 sp015064095, 95.0, 77.3, 0.045; GCA_017451545.1, s__RGIG3994 sp017451545, 95.0, 76.81, 0.057	67.63	11	0.92346	N/A
AW107-megahit_bin.12	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2882;s__UBA2882 sp900549665	GCA_900549665.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2882;s__UBA2882 sp900549665	97.75	0.921	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
AW107-megahit_bin.13	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__	N/A	N/A	N/A	N/A	N/A	GCA_004557565.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__Sodaliphilus sp004557565	91.24	0.882	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002476625.1, s__Sodaliphilus sp002476625, 95.0, 80.31, 0.497; GCA_004559845.1, s__Sodaliphilus sp004559845, 95.0, 79.51, 0.393; GCF_009676955.1, s__Sodaliphilus pleomorphus, 95.0, 77.33, 0.184; GCA_017618355.1, s__Sodaliphilus sp017618355, 95.0, 77.3, 0.1; GCA_900314215.1, s__Sodaliphilus sp900314215, 95.0, 77.27, 0.2; GCA_902768435.1, s__Sodaliphilus sp902768435, 95.0, 77.23, 0.161; GCA_016287065.1, s__Sodaliphilus sp016287065, 95.0, 77.11, 0.118; GCA_902777835.1, s__Sodaliphilus sp902777835, 95.0, 77.0, 0.112; GCA_018065815.1, s__Sodaliphilus sp018065815, 95.0, 76.93, 0.13; GCA_900770215.1, s__Sodaliphilus sp900770215, 95.0, 76.9, 0.176; GCA_902781045.1, s__Sodaliphilus sp902781045, 95.0, 76.9, 0.095; GCA_017557625.1, s__Sodaliphilus sp017557625, 95.0, 76.88, 0.095; GCA_017483645.1, s__Sodaliphilus sp017483645, 95.0, 76.83, 0.1; GCA_900318865.1, s__Sodaliphilus sp900318865, 95.0, 76.83, 0.11; GCA_900318065.1, s__Sodaliphilus sp900318065, 95.0, 76.73, 0.132; GCA_902776835.1, s__Sodaliphilus sp902776835, 95.0, 76.7, 0.146; GCA_017651515.1, s__Sodaliphilus sp017651515, 95.0, 76.7, 0.064; GCA_018065165.1, s__Sodaliphilus sp018065165, 95.0, 76.69, 0.101; GCA_018065665.1, s__Sodaliphilus sp018065665, 95.0, 76.67, 0.061; GCA_017619355.1, s__Sodaliphilus sp017619355, 95.0, 76.66, 0.159; GCA_902762385.1, s__Sodaliphilus sp902762385, 95.0, 76.66, 0.091; GCA_017619935.1, s__Sodaliphilus sp017619935, 95.0, 76.61, 0.08; GCA_002353285.1, s__Sodaliphilus sp002353285, 95.0, 76.61, 0.091; GCA_017427945.1, s__Sodaliphilus sp017427945, 95.0, 76.59, 0.081; GCA_905233845.1, s__Sodaliphilus sp905233845, 95.0, 76.56, 0.098; GCA_017940245.1, s__Sodaliphilus sp017940245, 95.0, 76.55, 0.105; GCA_900316835.1, s__Sodaliphilus sp900316835, 95.0, 76.54, 0.091; GCA_902792435.1, s__Sodaliphilus sp902792435, 95.0, 76.53, 0.088; GCA_017964485.1, s__Sodaliphilus sp017964485, 95.0, 76.52, 0.124; GCA_016290325.1, s__Sodaliphilus sp016290325, 95.0, 76.52, 0.073; GCA_900318255.1, s__Sodaliphilus sp900318255, 95.0, 76.51, 0.135; GCA_902760865.1, s__Sodaliphilus sp902760865, 95.0, 76.49, 0.096; GCA_902782545.1, s__Sodaliphilus sp902782545, 95.0, 76.47, 0.078; GCA_017557665.1, s__Sodaliphilus sp017557665, 95.0, 76.44, 0.069; GCA_017557425.1, s__Sodaliphilus sp017557425, 95.0, 76.44, 0.059; GCA_002395965.1, s__Sodaliphilus sp002395965, 95.0, 76.43, 0.09; GCA_002314465.1, s__Sodaliphilus sp002314465, 95.0, 76.42, 0.085; GCA_902785925.1, s__Sodaliphilus sp902785925, 95.0, 76.41, 0.093; GCA_902776435.1, s__Sodaliphilus sp902776435, 95.0, 76.39, 0.085; GCA_902779125.1, s__Sodaliphilus sp902779125, 95.0, 76.38, 0.081; GCA_017405965.1, s__Sodaliphilus sp017405965, 95.0, 76.35, 0.093; GCA_017478855.1, s__Sodaliphilus sp017478855, 95.0, 76.35, 0.102; GCA_902786725.1, s__Sodaliphilus sp902786725, 95.0, 76.35, 0.077; GCA_900318205.1, s__Sodaliphilus sp900318205, 95.0, 76.35, 0.09; GCA_900320055.1, s__Sodaliphilus sp900320055, 95.0, 76.34, 0.074; GCA_900318535.1, s__Sodaliphilus sp900318535, 95.0, 76.33, 0.098; GCA_902782465.1, s__Sodaliphilus sp902782465, 95.0, 76.32, 0.1; GCA_900322135.1, s__Sodaliphilus sp900322135, 95.0, 76.31, 0.071; GCA_900318345.1, s__Sodaliphilus sp900318345, 95.0, 76.3, 0.071; GCA_902793405.1, s__Sodaliphilus sp902793405, 95.0, 76.29, 0.078; GCA_902800715.1, s__Sodaliphilus sp902800715, 95.0, 76.28, 0.093; GCA_905233915.1, s__Sodaliphilus sp905233915, 95.0, 76.27, 0.1; GCA_002396125.1, s__Sodaliphilus sp002396125, 95.0, 76.27, 0.09; GCA_902776955.1, s__Sodaliphilus sp902776955, 95.0, 76.26, 0.076; GCA_002396085.1, s__Sodaliphilus sp002396085, 95.0, 76.24, 0.098; GCA_017451225.1, s__Sodaliphilus sp017451225, 95.0, 76.24, 0.083; GCA_017453505.1, s__Sodaliphilus sp017453505, 95.0, 76.24, 0.071; GCA_017962285.1, s__Sodaliphilus sp017962285, 95.0, 76.2, 0.062; GCA_902792895.1, s__Sodaliphilus sp902792895, 95.0, 76.17, 0.093; GCA_017548365.1, s__Sodaliphilus sp017548365, 95.0, 76.16, 0.076; GCA_902774055.1, s__Sodaliphilus sp902774055, 95.0, 76.15, 0.098; GCA_900318335.1, s__Sodaliphilus sp900318335, 95.0, 76.14, 0.073; GCA_900318645.1, s__Sodaliphilus sp900318645, 95.0, 76.1, 0.073; GCA_017478265.1, s__Sodaliphilus sp017478265, 95.0, 76.08, 0.077; GCA_017477555.1, s__Sodaliphilus sp017477555, 95.0, 76.05, 0.091; GCA_016281825.1, s__Sodaliphilus sp016281825, 95.0, 76.01, 0.058; GCA_900317835.1, s__Sodaliphilus sp900317835, 95.0, 76.0, 0.08; GCA_902761475.1, s__Sodaliphilus sp902761475, 95.0, 76.0, 0.1; GCA_017962765.1, s__Sodaliphilus sp017962765, 95.0, 76.0, 0.083; GCA_902772965.1, s__Sodaliphilus sp902772965, 95.0, 75.98, 0.058; GCA_900319525.1, s__Sodaliphilus sp900319525, 95.0, 75.97, 0.091; GCA_017443765.1, s__Sodaliphilus sp017443765, 95.0, 75.96, 0.127; GCA_902787185.1, s__Sodaliphilus sp902787185, 95.0, 75.95, 0.061; GCA_017545095.1, s__Sodaliphilus sp017545095, 95.0, 75.93, 0.1; GCA_017449785.1, s__Sodaliphilus sp017449785, 95.0, 75.91, 0.085; GCA_900320245.1, s__Sodaliphilus sp900320245, 95.0, 75.8, 0.081; GCA_016290765.1, s__Sodaliphilus sp016290765, 95.0, 75.78, 0.076; GCA_902772455.1, s__Sodaliphilus sp902772455, 95.0, 75.76, 0.061; GCA_017557285.1, s__Sodaliphilus sp017557285, 95.0, 75.72, 0.058; GCA_017454355.1, s__Sodaliphilus sp017454355, 95.0, 75.71, 0.056; GCA_900317325.1, s__Sodaliphilus sp900317325, 95.0, 75.69, 0.074; GCA_902784675.1, s__Sodaliphilus sp902784675, 95.0, 75.69, 0.083; GCA_017553785.1, s__Sodaliphilus sp017553785, 95.0, 75.66, 0.042; GCA_017619255.1, s__Sodaliphilus sp017619255, 95.0, 75.65, 0.045; GCA_002353885.1, s__Sodaliphilus sp002353885, 95.0, 75.56, 0.09	90.29	11	0.99772	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AW107-megahit_bin.14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_015074785.1, s__Prevotella sp015074785, 95.6733, 94.2, 0.86; GCF_019127135.1, s__Prevotella sp900551275, 95.0063, 94.07, 0.848; GCF_000157935.1, s__Prevotella copri, 95.6733, 93.54, 0.832; GCA_900557255.1, s__Prevotella sp900557255, 95.0, 93.01, 0.527; GCF_009494395.1, s__Prevotella sp900546535, 95.0, 85.35, 0.741; GCA_019249655.1, s__Prevotella sp900767615, 95.0, 84.8, 0.732; GCA_900544825.1, s__Prevotella sp900544825, 95.0, 84.76, 0.676; GCF_002224675.1, s__Prevotella copri_A, 95.0, 84.61, 0.681; GCA_900551985.1, s__Prevotella sp900551985, 95.0, 84.51, 0.655; GCA_900555035.1, s__Prevotella sp900555035, 95.0, 84.03, 0.583; GCA_900556795.1, s__Prevotella sp900556795, 95.0, 83.76, 0.436; GCA_900557035.1, s__Prevotella sp900557035, 95.0, 83.56, 0.52; GCA_900554835.1, s__Prevotella sp900554835, 95.0, 83.26, 0.515; GCA_900770515.1, s__Prevotella sp900770515, 95.0, 82.99, 0.417; GCA_900765465.1, s__Prevotella sp900765465, 95.0, 82.42, 0.406; GCF_004535825.1, s__Prevotella hominis, 95.0, 81.97, 0.559; GCA_900548535.1, s__Prevotella sp900548535, 95.0, 81.23, 0.601; GCA_002440225.1, s__Prevotella sp002440225, 95.0, 80.83, 0.515; GCA_002297965.1, s__Prevotella sp002297965, 95.0, 80.7, 0.51; GCF_009495355.1, s__Prevotella sp900313215, 95.0, 80.58, 0.427; GCA_000436035.1, s__Prevotella sp000436035, 95.0, 80.05, 0.424; GCA_002451555.1, s__Prevotella sp002451555, 95.0, 79.86, 0.452; GCA_002405875.1, s__Prevotella sp002405875, 95.0, 79.23, 0.303; GCA_002439605.1, s__Prevotella sp002439605, 95.0, 79.06, 0.312; GCA_900556395.1, s__Prevotella sp900556395, 95.0, 78.93, 0.317; GCF_002265625.1, s__Prevotella sp002265625, 95.0, 78.6, 0.11; GCA_000436915.1, s__Prevotella sp000436915, 95.0, 78.49, 0.131; GCF_900290275.1, s__Prevotella sp900290275, 95.0, 77.91, 0.142; GCF_000179055.1, s__Prevotella bryantii, 95.0, 77.74, 0.068; GCA_018054505.1, s__Prevotella sp018054505, 95.0, 77.73, 0.056; GCA_900553595.1, s__Prevotella sp900553595, 95.0, 77.62, 0.068; GCA_905236815.1, s__Prevotella sp905236815, 95.0, 77.58, 0.145; GCA_905236755.1, s__Prevotella sp905236755, 95.0, 77.4, 0.135; GCA_900544495.1, s__Prevotella sp900544495, 95.0, 77.37, 0.117; GCA_900552515.1, s__Prevotella sp900552515, 95.0, 77.32, 0.105; GCA_900550035.1, s__Prevotella sp900550035, 95.0, 77.32, 0.149; GCA_002481295.1, s__Prevotella sp002481295, 95.0, 77.29, 0.075; GCA_900546575.1, s__Prevotella sp900546575, 95.0, 77.25, 0.126; GCA_902775075.1, s__Prevotella sp902775075, 95.0, 77.18, 0.096; GCF_000426565.1, s__Prevotella albensis, 95.0, 77.18, 0.093; GCA_900553155.1, s__Prevotella sp900553155, 95.0, 77.13, 0.091; GCA_900552675.1, s__Prevotella sp900552675, 95.0, 77.11, 0.061; GCA_905210845.1, s__Prevotella sp900556825, 95.0, 77.11, 0.065; GCF_002251385.1, s__Prevotella sp002251385, 95.0, 77.1, 0.121; GCA_900317685.1, s__Prevotella sp900317685, 95.0, 77.05, 0.112; GCA_900543975.1, s__Prevotella sp900543975, 95.0, 77.04, 0.072; GCF_000235885.1, s__Prevotella stercorea, 95.0, 76.97, 0.098; GCA_900771975.1, s__Prevotella sp900771975, 95.0, 76.96, 0.04; GCA_905202125.1, s__Prevotella sp900556275, 95.0, 76.91, 0.056; GCF_000424185.1, s__Prevotella sp000424185, 95.0, 76.8, 0.089; GCF_000479005.1, s__Prevotella sp000479005, 95.0, 76.75, 0.061; GCA_905198745.1, s__Prevotella sp905198745, 95.0, 76.73, 0.1; GCA_018053665.1, s__Prevotella sp018053665, 95.0, 76.7, 0.061; GCA_900769055.1, s__Prevotella sp900769055, 95.0, 76.67, 0.075; GCA_900546345.1, s__Prevotella sp900546345, 95.0, 76.64, 0.077; GCF_000762405.1, s__Prevotella timonensis_A, 95.0025, 76.63, 0.04; GCF_002251365.1, s__Prevotella sp002251365, 95.0, 76.62, 0.089; GCF_000613925.1, s__Prevotella histicola, 95.0, 76.62, 0.07; GCA_900554695.1, s__Prevotella sp900554695, 95.0, 76.61, 0.051; GCF_000613405.1, s__Prevotella enoeca, 95.0, 76.54, 0.03; GCA_000436695.1, s__Prevotella sp000436695, 95.0, 76.54, 0.056; GCF_001553265.1, s__Prevotella sp001553265, 95.0, 76.52, 0.054; GCF_018789675.1, s__Prevotella sp002300055, 95.0, 76.52, 0.089; GCA_900316015.1, s__Prevotella sp900316015, 95.0, 76.51, 0.056; GCF_000373185.1, s__Prevotella paludivivens, 95.0, 76.51, 0.072; GCF_009695775.1, s__Prevotella mizrahii, 95.0, 76.49, 0.082; GCA_900762125.1, s__Prevotella sp900762125, 95.0, 76.48, 0.1; GCF_900637655.1, s__Prevotella oris, 95.0, 76.45, 0.084; GCF_017347605.1, s__Prevotella sp017347605, 95.0, 76.44, 0.075; GCA_900322035.1, s__Prevotella sp900322035, 95.0, 76.42, 0.068; GCA_002391185.1, s__Prevotella sp002391185, 95.0, 76.4, 0.065; GCA_000435635.1, s__Prevotella avicola, 95.0, 76.39, 0.056; GCA_002490315.1, s__Prevotella sp002490315, 95.0, 76.39, 0.068; GCF_000455445.1, s__Prevotella timonensis, 95.0025, 76.38, 0.04; GCA_900199655.1, s__Prevotella sp900199655, 95.0, 76.37, 0.075; GCA_002437285.1, s__Prevotella sp002437285, 95.0, 76.34, 0.072; GCF_000177075.1, s__Prevotella buccalis, 95.0, 76.33, 0.061; GCA_900322095.1, s__Prevotella sp900322095, 95.0, 76.29, 0.089; GCF_000613785.1, s__Prevotella oulorum, 95.0, 76.29, 0.056; GCF_003043925.1, s__Prevotella sp003043925, 95.0, 76.21, 0.054; GCF_000613725.1, s__Prevotella pleuritidis, 95.0, 76.19, 0.035; GCA_900553465.1, s__Prevotella sp900553465, 95.0, 76.19, 0.058; GCF_900113305.1, s__Prevotella sp900113305, 95.0, 76.18, 0.084; GCA_900547085.1, s__Prevotella sp900547085, 95.0, 76.16, 0.04; GCF_003043945.1, s__Prevotella sp003043945, 95.0, 76.15, 0.063; GCA_004558865.1, s__Prevotella sp004558865, 95.0, 76.14, 0.068; GCF_000185145.2, s__Prevotella oralis, 95.0, 76.12, 0.037; GCF_900079775.1, s__Prevotella lascolaii, 95.0, 76.06, 0.047; GCA_900540375.1, s__Prevotella sp900540375, 95.0, 76.06, 0.11; GCA_002437115.1, s__Prevotella sp002437115, 95.0, 76.02, 0.051; GCF_000185845.1, s__Prevotella salivae, 95.0, 75.94, 0.056; GCA_900318855.1, s__Prevotella sp900318855, 95.0, 75.92, 0.065; GCA_004554665.1, s__Prevotella sp004554665, 95.0, 75.9, 0.082; GCA_900317545.1, s__Prevotella sp900317545, 95.0, 75.86, 0.051; GCF_000426585.1, s__Prevotella baroniae, 95.0, 75.79, 0.082; GCA_900314365.1, s__Prevotella sp900314365, 95.0, 75.77, 0.063; GCA_900770845.1, s__Prevotella sp900770845, 95.0, 75.74, 0.082; GCF_000184945.1, s__Prevotella buccae, 95.0, 75.73, 0.091; GCF_000599605.1, s__Prevotella sp000599605, 95.0, 75.66, 0.058; GCF_000382385.1, s__Prevotella maculosa, 95.0, 75.36, 0.075	47.7	11	0.99798	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AW107-megahit_bin.15	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__UBA1731;s__	N/A	N/A	N/A	N/A	N/A	GCA_902779565.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__UBA1731;s__UBA1731 sp902779565	77.61	0.241	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__UBA1731;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017936245.1, s__UBA1731 sp017936245, 95.0, 76.94, 0.13; GCA_017521065.1, s__UBA1731 sp017521065, 95.0, 76.38, 0.093; GCA_015061765.1, s__UBA1731 sp015061765, 95.0, 76.34, 0.167; GCA_002317575.1, s__UBA1731 sp002317575, 95.0, 75.32, 0.074	31.18	11	0.95157	N/A
AW107-megahit_bin.16	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-488;s__CAG-488 sp900539465	GCA_900539465.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-488;s__CAG-488 sp900539465	97.38	0.969	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
AW107-megahit_bin.17	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__W0P33-017;s__	N/A	N/A	N/A	N/A	N/A	GCA_004562765.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__W0P33-017;s__W0P33-017 sp004562765	78.93	0.493	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__W0P33-017;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017623885.1, s__W0P33-017 sp017623885, 95.0, 77.57, 0.262; GCA_910589045.1, s__W0P33-017 sp910589045, 95.0, 77.24, 0.21	46.33	11	0.97176	N/A
AW107-megahit_bin.18	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__SFHK01;s__SFHK01 sp004556395	GCA_004556395.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__SFHK01;s__SFHK01 sp004556395	97.95	0.883	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
